compatible scenarios from "2021.06.09.12.39.51_veh-26_05620_06003"

FOUND: 6400
00009841879a5bb9 stationary 2021.06.09.12.39.51_veh-26_05620_06003
000912b64ce05419 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
0014014e711756c9 stationary 2021.06.09.12.39.51_veh-26_05620_06003
001be9e5775f5fe9 stationary 2021.06.09.12.39.51_veh-26_05620_06003
001d5d0520ff5cba unknown 2021.06.09.12.39.51_veh-26_05620_06003
001f128eb0215209 stationary 2021.06.09.12.39.51_veh-26_05620_06003
0020f438f6fb5860 stationary 2021.06.09.12.39.51_veh-26_05620_06003
0024d8cd7f865848 stationary 2021.06.09.12.39.51_veh-26_05620_06003
002706c0bf6e5959 stationary 2021.06.09.12.39.51_veh-26_05620_06003
00426a25940d5472 unknown 2021.06.09.12.39.51_veh-26_05620_06003
00435cc4f8d05d98 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
0043b9c862e95c95 unknown 2021.06.09.12.39.51_veh-26_05620_06003
0045185b2868547a stationary 2021.06.09.12.39.51_veh-26_05620_06003
004b0be2c9c25ff5 stationary 2021.06.09.12.39.51_veh-26_05620_06003
004e71d0ad1e588d stationary 2021.06.09.12.39.51_veh-26_05620_06003
00585cebcd085a54 stationary 2021.06.09.12.39.51_veh-26_05620_06003
005b34be39805af0 stationary 2021.06.09.12.39.51_veh-26_05620_06003
006dbd3a63c15d19 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
0073861449cf5543 stationary 2021.06.09.12.39.51_veh-26_05620_06003
0076febd8e5450d6 stationary 2021.06.09.12.39.51_veh-26_05620_06003
0077fff81e1d5aa7 traversing_intersection 2021.06.09.12.39.51_veh-26_05620_06003
0080b8fc58e4553e traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
00929d6b442b5de6 high_magnitude_speed 2021.06.09.12.39.51_veh-26_05620_06003
009ba7b2ee8d5225 unknown 2021.06.09.12.39.51_veh-26_05620_06003
00a3850204f45f7e unknown 2021.06.09.12.39.51_veh-26_05620_06003
00a7b2f616435b59 stationary 2021.06.09.12.39.51_veh-26_05620_06003
00aaca2a0d6a5c90 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
00b8497ee52152cc traversing_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
00c1f2e84a105740 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
00c79f7e6d175b9d traversing_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
00c83890e9615daa traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
00cc81e4ddb25a9a traversing_intersection 2021.06.09.12.39.51_veh-26_05620_06003
00d4dfafa76a5f10 unknown 2021.06.09.12.39.51_veh-26_05620_06003
00e0d79fb5655d43 stationary 2021.06.09.12.39.51_veh-26_05620_06003
00f5d826bfc25e13 unknown 2021.06.09.12.39.51_veh-26_05620_06003
010f9df34ad852b4 stationary 2021.06.09.12.39.51_veh-26_05620_06003
0113112de5545289 stationary 2021.06.09.12.39.51_veh-26_05620_06003
01155444c6bf5bbd stationary 2021.06.09.12.39.51_veh-26_05620_06003
01387f99fd9a5100 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
01445c6b1b845300 waiting_for_pedestrian_to_cross 2021.06.09.12.39.51_veh-26_05620_06003
014466cdba6b55b5 stationary 2021.06.09.12.39.51_veh-26_05620_06003
0153da980c505664 traversing_intersection 2021.06.09.12.39.51_veh-26_05620_06003
0156efa1f76d5211 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
0166293ead755e7f stationary 2021.06.09.12.39.51_veh-26_05620_06003
016c65731a8a54e8 high_magnitude_speed 2021.06.09.12.39.51_veh-26_05620_06003
017c98c16dc05a36 stationary 2021.06.09.12.39.51_veh-26_05620_06003
018713bae1a354f3 stationary 2021.06.09.12.39.51_veh-26_05620_06003
01a144563b6d52ac stationary 2021.06.09.12.39.51_veh-26_05620_06003
01b45d85de245d9f traversing_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
01bbed352d325aad traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
01c1f1c924735bf2 stationary 2021.06.09.12.39.51_veh-26_05620_06003
01ca6fdc8e555f07 unknown 2021.06.09.12.39.51_veh-26_05620_06003
01cce3f722955121 unknown 2021.06.09.12.39.51_veh-26_05620_06003
01cef7d3972b5931 on_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
01d277e9d2905de3 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
01e05c2632775d6e on_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
01efbac5b08b5df0 traversing_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
02098237c174533c medium_magnitude_speed 2021.06.09.12.39.51_veh-26_05620_06003
020b3725452559ed traversing_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
021122440aeb5ca1 stationary 2021.06.09.12.39.51_veh-26_05620_06003
0213816482d95457 traversing_intersection 2021.06.09.12.39.51_veh-26_05620_06003
0219ef9c1a6c57d3 unknown 2021.06.09.12.39.51_veh-26_05620_06003
022255d2c41e5d20 stationary 2021.06.09.12.39.51_veh-26_05620_06003
022418c63e0e5fd2 high_magnitude_speed 2021.06.09.12.39.51_veh-26_05620_06003
0238399206685097 stationary 2021.06.09.12.39.51_veh-26_05620_06003
023bdc8af6075984 traversing_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
023d646dcfda5501 unknown 2021.06.09.12.39.51_veh-26_05620_06003
02509e8de2b9547a traversing_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
02554ef77e0f564d stationary 2021.06.09.12.39.51_veh-26_05620_06003
02564f8eb5275aa0 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
025d4dbb0aae5d84 unknown 2021.06.09.12.39.51_veh-26_05620_06003
026d6bbf4245580d on_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
027739ec2d1e534f traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
0279660ca6885699 traversing_intersection 2021.06.09.12.39.51_veh-26_05620_06003
0295dbbd154c5f4a on_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
029b86e60ebd5c8a traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
029cd19bc20d5e14 traversing_traffic_light_intersection 2021.06.09.12.39.51_veh-26_05620_06003
02a8386f365751d9 stationary_in_traffic 2021.06.09.12.39.51_veh-26_05620_06003
02a940ae0e165e5a traversing_intersection 2021.06.09.12.39.51_veh-26_05620_06003
02ab7cdc17cb5d19 traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
02b1781ca0ab51bb high_magnitude_speed 2021.06.09.12.39.51_veh-26_05620_06003
02b4fd000ca65134 near_multiple_vehicles 2021.06.09.12.39.51_veh-26_05620_06003
02c0c817ca905bb7 stationary 2021.06.09.12.39.51_veh-26_05620_06003
02cc19edb1ed5023 unknown 2021.06.09.12.39.51_veh-26_05620_06003
02e7de5d13fb50be traversing_pickup_dropoff 2021.06.09.12.39.51_veh-26_05620_06003
02ecd097688c5ff6 stationary 2021.06.09.12.39.51_veh-26_05620_06003
02feac83372f5a02 unknown 2021.06.09.12.39.51_veh-26_05620_06003
